Index,SongName,Artist,Genre,ID,Length,Explicit,PercentRating
1,......And Roses And Roses,Andy Williams,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold']",3tvqPPpXyIgKrm4PR9HCf0,166106,FALSE,38
2,...And Then There Were Drums,Sandy Nelson,"['rock-and-roll', 'space age pop', 'surf music']",1fHHq3qHU8wpRKHzhojZ4a,172066,FALSE,11
3,...Baby One More Time,Britney Spears,"['dance pop', 'pop', 'post-teen pop']",3MjUtNVVq3C8Fn0MP3zhXa,211066,FALSE,77
4,...Ready For It?,Taylor Swift,"['pop', 'post-teen pop']",2yLa0QULdQr0qAIvVwN6B5,208186,FALSE,73
5,"B"" Girls",Young And Restless,"[]",0rWUHulFlScxQsCq7kWKde,242106,FALSE,20
6,"Cherry Cherry"" from Hot August Night",Neil Diamond,"['adult standards', 'brill building pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",18ocy9Be9SxWEEnOLGDfkS,443320,FALSE,16
7,('til) I Kissed You,The Everly Brothers,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",2erTdgDOZmjJNaNhjhWXhJ,146066,FALSE,53
8,(All Of A Sudden) My Heart Sings,Mel Carter,"[]",6x5BiQwNlbtisITsEHa8Eu,164066,FALSE,17
9,(All of a Sudden) My Heart Sings,Paul Anka,"['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']",5Eeq19q3Ft77GpSENEZL2I,184200,FALSE,21
10,(Any Way That You Want It) I'll Be There,Starz,"[]",3nxrdgbdv33HEUeZUayRuN,204760,FALSE,2
11,(Baby) Hully Gully,The Olympics,"['doo-wop', 'rhythm and blues']",6UO3m5VERw0IOI0fCXwcvJ,127829,FALSE,5
12,(Between A) Rock And A Hard Place,Cutting Crew,"['album rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",2KxYID9maMVJaGnvGu6Iso,227960,FALSE,19
13,(Bringing Out) The Girl In Me,Maxine Nightingale,"['classic uk pop']",5fuRsSCGDlOImVIJktdyoV,210973,FALSE,6
14,(Call Me Your) Anything Man,Bobby Moore,"['classic soul']",0O38BS1klXTO7qRKeEsUK4,374491,FALSE,4
15,(Can't Live Without Your) Love And Affection,Nelson,"['classic country pop', 'country', 'nashville sound', 'outlaw country', 'singer-songwriter', 'texas country']",3JjY2L2bqql54j1SjnjQ23,236435,FALSE,47
16,(Closest Thing To) Perfect,Jermaine Jackson,"['disco', 'funk', 'post-disco', 'quiet storm', 'urban contemporary']",7pM34Bmj0JY3YNkDOlrcrh,230693,FALSE,8
17,(Come 'round Here) I'm The One You Need,The Miracles,"['adult standards', 'brill building pop', 'classic soul', 'funk', 'motown', 'quiet storm', 'rock-and-roll', 'soul', 'southern soul']",5YvokzRkNONpj5c0TIqTjQ,150066,FALSE,26
18,(Dance The) Mess Around,Chubby Checker,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'rock-and-roll', 'rockabilly']",1AYJ3jYK65l6wRRk6vJzHM,141666,FALSE,13
19,(Do The New) Continental,The Dovells,"['brill building pop', 'doo-wop', 'rhythm and blues']",1bZnNyr6uaY7XbxZfO1JYs,157333,FALSE,16
20,(Do You) Wanna Ride,Reel Tight,"[]",7mtYwHLYETUEgA8Sc2Uuxr,213213,FALSE,7
21,(Don't Fear) The Reaper,Blue Oyster Cult,"['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'psychedelic rock', 'rock', 'soft rock']",5QTxFnGygVM4jFQiBovmRo,308120,FALSE,77
